Title	IMDb code	Year	1 ratings	2 ratings	3 ratings	4 ratings	5 ratings	6 ratings	7 ratings	8 ratings	9 ratings	10 ratings	Total ratings	Weighted Mean	Arithmetic Mean	Diff of Means	Stand. Dev.
71	tt2614684	2014	516	261	415	866	2830	9536	23922	18301	5131	2660	64438	7.2	7.196902449	-0.003097551	1.368389925
83	tt7518786	2021	5549	543	452	510	1088	2262	5093	8684	7142	11260	42583	7.5	7.304417256	-0.195582744	2.933438953
[REC] 3: Genesis	tt1649444	2012	2868	2435	3908	5788	8794	7748	4621	2108	802	1760	40832	5	5.072026842	0.072026842	2.163093514
[Rec]²	tt1245112	2009	1439	1118	1840	3825	8902	20086	24228	12493	4713	4993	83637	6.5	6.592871576	0.092871576	1.769015659
*batteries not included	tt0092494	1987	461	437	955	1867	4307	9225	10867	6283	2234	3263	39899	6.6	6.707486403	0.107486403	1.785737504
#Alive	tt10620868	2020	864	596	1153	2412	6386	15162	15561	6655	1989	3071	53849	6.3	6.47817044	0.17817044	1.693607655
1: Nenokkadine	tt2375559	2014	2848	344	319	372	596	1149	2198	4088	7508	28148	47570	7.9	8.681879336	0.781879336	2.408767018
10 Cloverfield Lane	tt1179933	2016	3667	2123	3635	6950	18663	54581	128991	107569	35062	19079	380320	7.2	7.197244426	-0.002755574	1.485949232
10 Things I Hate About You	tt0147800	1999	2282	1776	3112	6841	19122	54816	121681	108394	54405	67422	439851	7.4	7.615815356	0.215815356	1.60652935
10 Years	tt1715873	2011	626	473	804	1805	4353	7948	6590	3128	1069	1643	28439	6.1	6.254158022	0.154158022	1.829663004
10,000 BC	tt0443649	2008	9610	7789	11145	17437	27166	28051	18659	8813	3354	6929	138953	5.1	5.275884652	0.175884652	2.219001189
101 Dalmatians	tt0115433	1996	1746	2241	5101	11631	27798	35916	21189	8850	2972	5957	123401	5.8	5.899320103	0.099320103	1.748199242
102 Dalmatians	tt0211181	2000	1537	2091	3956	7522	10574	7296	3796	1800	697	2277	41546	4.9	5.159004477	0.259004477	2.037461273
11:14	tt0331811	2003	509	337	501	1010	2651	7513	17118	13819	4918	3758	52134	7.1	7.236716922	0.136716922	1.556878667
12 Angry Men	tt0050083	1957	10550	1971	2395	3769	8385	20220	63356	179038	312819	365729	968232	9	8.828932529	-0.171067471	1.450895386
12 Monkeys	tt0114746	1995	5082	2635	3779	6880	16161	43396	126794	232239	149791	87537	674294	8	7.948089409	-0.051910591	1.487701057
12 Rounds	tt1160368	2009	1359	947	1588	3020	6256	8260	5238	2195	766	2040	31669	5.6	5.761375478	0.161375478	2.053224116
12 Strong	tt1413492	2018	2005	912	1473	3091	8831	23993	32272	15967	4969	6262	99775	6.5	6.712162365	0.212162365	1.703744733
12 Years a Slave	tt2024544	2013	7141	2711	3490	5869	14287	41037	131012	266749	193274	113833	779403	8.1	8.074177287	-0.025822713	1.475449228
127 Hours	tt1542344	2010	2774	1561	2691	5252	14015	44114	123008	138304	54003	35505	421227	7.5	7.545340161	0.045340161	1.443723216
12th Fail	tt23849204	2023	5510	508	424	519	1120	2467	7175	16769	30511	100917	165920	8.7	9.030990839	0.330990839	1.889109104
13	tt0798817	2010	1308	1003	1695	3065	6745	11924	10600	4829	1606	2814	45589	6	6.171532607	0.171532607	1.937089757
13 Assassins	tt1436045	2010	789	352	515	1011	2533	6842	18073	23723	10785	6613	71236	7.5	7.584493795	0.084493795	1.560912817
13 Going on 30	tt0337563	2004	2853	2899	5605	12685	31471	61625	58839	33017	13558	20317	242869	6.3	6.606491565	0.306491565	1.813830364
13 Hours: The Secret Soldiers of Benghazi	tt4172430	2016	2656	930	1455	2717	7195	19581	49606	49976	21583	21359	177058	7.3	7.500914954	0.200914954	1.678901452
13 Sins	tt2059171	2014	566	449	893	2071	5407	11922	11745	5095	1625	1950	41723	6.3	6.425568631	0.125568631	1.649037058
13th	tt5895028	2016	927	183	165	280	647	1777	5279	12148	9915	7739	39060	8.2	8.130235535	-0.069764465	1.745725079
