title,year,rating,votes
The Birth of a Nation,1915,6.1,28042
The Cabinet of Dr. Caligari,1920,8,75418
The Kid,1921,8.2,144358
Nosferatu: A Symphony of Horror,1922,7.8,122247
Sherlock Jr.,1924,8.1,64642
Battleship Potemkin,1925,7.9,64585
The Gold Rush,1925,8.1,127105
The General,1926,8.1,105181
Metropolis,1927,8.2,199200
Sunrise,1927,8.1,56271
The Circus,1928,8.1,38202
The Passion of Joan of Arc,1928,8.1,67306
Man with a Movie Camera,1929,8.3,29948
All Quiet on the Western Front,1930,8.1,71398
City Lights,1931,8.5,214706
Dracula,1931,7.3,64118
Frankenstein,1931,7.7,86882
M,1931,8.3,181234
Freaks,1932,7.8,54217
Scarface,1932,7.7,32945
The Mummy,1932,6.9,32924
Duck Soup,1933,7.7,65043
King Kong,1933,7.9,95171
The Invisible Man,1933,7.6,43595
It Happened One Night,1934,8.1,118789
The Thin Man,1934,7.9,34776
A Night at the Opera,1935,7.8,36243
Bride of Frankenstein,1935,7.8,58173
Mutiny on the Bounty,1935,7.6,26377
The 39 Steps,1935,7.6,65441
Modern Times,1936,8.5,282959
My Man Godfrey,1936,7.9,28272
La grande illusion,1937,8.1,40776
Snow White and the Seven Dwarfs,1937,7.6,236290
Bringing Up Baby,1938,7.8,69872
The Adventures of Robin Hood,1938,7.9,57333
The Lady Vanishes,1938,7.7,60763
You Can't Take It with You,1938,7.8,30044
Gone with the Wind,1939,8.2,353563
Mr. Smith Goes to Washington,1939,8.1,128575
Stagecoach,1939,7.8,58039
The Rules of the Game,1939,7.9,33132
The Wizard of Oz,1939,8.1,462985
Fantasia,1940,7.7,110216
Foreign Correspondent,1940,7.4,25692
His Girl Friday,1940,7.8,67255
Pinocchio,1940,7.5,170739
Rebecca,1940,8.1,161504
The Grapes of Wrath,1940,8.1,107498
The Great Dictator,1940,8.4,257296
The Philadelphia Story,1940,7.8,77903
The Shop Around the Corner,1940,8,43692
Citizen Kane,1941,8.2,490263
Dumbo,1941,7.2,150150
How Green Was My Valley,1941,7.7,28690
Sullivan's Travels,1941,7.9,30421
Suspicion,1941,7.2,45943
The Lady Eve,1941,7.7,25173
The Maltese Falcon,1941,7.9,173208
The Wolf Man,1941,7.2,34084
